review_text,sentiment
Awful printer! Not as described.,negative
Fantastic printer! Couldn't be happier!,positive
Horrible camera. Terrible experience.,negative
Wonderful smartphone! Worth every penny!,positive
I love this router. Will buy again!,positive
This memory card is amazing! Better than expected.,positive
Acceptable powerbank. Standard features.,neutral
Superb laptop. Will buy again!,positive
Worst router ever. Not as described.,negative
Regret buying this keyboard. Very misleading.,negative
This laptop is amazing! Will buy again!,positive
Horrible camera. Complete waste of money.,negative
Outstanding keyboard. Great value for money.,positive
Brilliant camera! Will buy again!,positive
Basic laptop. Decent for the price.,neutral
This smartwatch is terrible. Regret the purchase.,negative
Acceptable router. Could be better.,neutral
Great keyboard with innovative features. Great value for money.,positive
This tablet is terrible. Not as described.,negative
Disappointing hard drive. Would not recommend.,negative
Outstanding hard drive. Very satisfied with the purchase.,positive
I love this printer. Better than expected.,positive
Useless tablet. Not as described.,negative
"Basic tablet. Not bad, not great.",neutral
Excellent earphones! Worth every penny!,positive
Excellent earphones! Will buy again!,positive
Regret buying this memory card. Very misleading.,negative
This monitor is amazing! Exactly what I wanted.,positive
Fantastic charger! Worth every penny!,positive
This hard drive is terrible. Regret the purchase.,negative
The webcam is fine. Nothing special.,neutral
"Acceptable hard drive. Not bad, not great.",neutral
Great smartwatch with great battery life. Exceeded my expectations.,positive
This printer is amazing! Highly recommended!,positive
Poor quality printer. Would not recommend.,negative
This webcam is terrible. Not worth the price.,negative
Great smartwatch with innovative features. Will buy again!,positive
Superb microphone. Highly recommended!,positive
Poor quality hard drive. Stay away from this.,negative
Acceptable memory card. Meets basic requirements.,neutral
Regret buying this headphones. Terrible experience.,negative
Acceptable laptop. As expected.,neutral
Acceptable camera. As expected.,neutral
Regret buying this powerbank. Terrible experience.,negative
Regular router. Nothing special.,neutral
Regret buying this headphones. Very misleading.,negative
Awful laptop! Very disappointed.,negative
Outstanding printer. Worth every penny!,positive
Wonderful powerbank! Highly recommended!,positive
"Average powerbank. Not bad, not great.",neutral
Acceptable smartwatch. Nothing special.,neutral
"Basic laptop. Not bad, not great.",neutral
Poor quality microphone. Not worth the price.,negative
Superb keyboard. Couldn't be happier!,positive
Not bad memory card. Nothing special.,neutral
Disappointing cable. Terrible experience.,negative
Superb charger. Will buy again!,positive
Usual earphones. Standard features.,neutral
Waste of money on this powerbank. Very disappointed.,negative
Useless smartwatch. Poor quality.,negative
Worst cable ever. Not worth the price.,negative
Excellent microphone! Worth every penny!,positive
Poor quality tablet. Would not recommend.,negative
Average mouse. Average quality.,neutral
Fantastic microphone! Will buy again!,positive
Fantastic earphones! Exceeded my expectations.,positive
The smartphone is fine. Serves its purpose.,neutral
Superb memory card. Very satisfied with the purchase.,positive
Awful tablet! Very misleading.,negative
Outstanding charger. Exceeded my expectations.,positive
This powerbank is okay. Standard features.,neutral
Disappointing charger. Very misleading.,negative
I love this speaker. Highly recommended!,positive
Regret buying this memory card. Very misleading.,negative
Decent headphones. Could be better.,neutral
Regular headphones. Could be better.,neutral
Superb speaker. Very satisfied with the purchase.,positive
Worst keyboard ever. Not as described.,negative
Fantastic memory card! Highly recommended!,positive
"Decent webcam. Not bad, not great.",neutral
This camera is amazing! Exactly what I wanted.,positive
Horrible cable. Regret the purchase.,negative
Regret buying this earphones. Not worth the price.,negative
This keyboard is terrible. Very disappointed.,negative
This printer is amazing! Better than expected.,positive
Excellent smartwatch! Great value for money.,positive
Great camera with great battery life. Worth every penny!,positive
The earphones is fine. Acceptable quality.,neutral
Standard speaker. Acceptable quality.,neutral
Outstanding smartwatch. Exactly what I wanted.,positive
Useless earphones. Not worth the price.,negative
"Acceptable laptop. Not bad, not great.",neutral
Acceptable webcam. Standard features.,neutral
Horrible cable. Would not recommend.,negative
I love this charger. Exactly what I wanted.,positive
Bad mouse. Terrible experience.,negative
Usual microphone. Decent for the price.,neutral
This earphones is terrible. Complete waste of money.,negative
Bad tablet. Not as described.,negative
Wonderful tablet! Very satisfied with the purchase.,positive
Awful keyboard! Stay away from this.,negative
Not bad charger. Acceptable quality.,neutral
"Basic webcam. Not bad, not great.",neutral
Fantastic monitor! Will buy again!,positive
Excellent earphones! Exceeded my expectations.,positive
Excellent smartphone! Perfect for my needs.,positive
Outstanding memory card. Worth every penny!,positive
Wonderful printer! Exactly what I wanted.,positive
Acceptable charger. As expected.,neutral
Great printer with premium feel. Worth every penny!,positive
Decent cable. As expected.,neutral
This smartwatch is amazing! Better than expected.,positive
The charger is fine. Nothing special.,neutral
Bad monitor. Would not recommend.,negative
Best cable I've ever used. Perfect for my needs.,positive
Acceptable smartphone. As expected.,neutral
Excellent keyboard! Great value for money.,positive
Excellent router! Great value for money.,positive
Awful laptop! Very misleading.,negative
Basic camera. Meets basic requirements.,neutral
Decent monitor. Meets basic requirements.,neutral
I love this camera. Great value for money.,positive
Decent monitor. Acceptable quality.,neutral
Basic hard drive. Nothing special.,neutral
This router is terrible. Complete waste of money.,negative
Disappointing microphone. Very misleading.,negative
Waste of money on this smartwatch. Complete waste of money.,negative
This tablet is terrible. Not as described.,negative
"Standard powerbank. Not bad, not great.",neutral
Regular charger. Average quality.,neutral
Horrible microphone. Very misleading.,negative
Poor quality earphones. Would not recommend.,negative
Excellent camera! Better than expected.,positive
Great memory card with amazing performance. Exactly what I wanted.,positive
The monitor is fine. As expected.,neutral
Disappointing memory card. Would not recommend.,negative
Excellent router! Better than expected.,positive
Brilliant cable! Exceeded my expectations.,positive
Awful speaker! Not worth the price.,negative
"Basic printer. Not bad, not great.",neutral
Waste of money on this charger. Complete waste of money.,negative
Wonderful speaker! Couldn't be happier!,positive
Useless microphone. Very misleading.,negative
Outstanding printer. Very satisfied with the purchase.,positive
Decent cable. Acceptable quality.,neutral
Outstanding microphone. Exactly what I wanted.,positive
Brilliant smartphone! Better than expected.,positive
Regular earphones. Acceptable quality.,neutral
Standard laptop. Standard features.,neutral
Disappointing mouse. Terrible experience.,negative
Average cable. Acceptable quality.,neutral
Basic microphone. As expected.,neutral
I love this webcam. Exceeded my expectations.,positive
Wonderful charger! Worth every penny!,positive
Regular tablet. Could be better.,neutral
Usual router. Meets basic requirements.,neutral
Regret buying this cable. Poor quality.,negative
Basic laptop. Nothing special.,neutral
Basic earphones. Meets basic requirements.,neutral
Not bad headphones. Meets basic requirements.,neutral
Usual tablet. As expected.,neutral
Great tablet with fast processing. Perfect for my needs.,positive
Usual printer. Serves its purpose.,neutral
Acceptable keyboard. Standard features.,neutral
Awful smartphone! Not worth the price.,negative
Excellent speaker! Very satisfied with the purchase.,positive
I love this headphones. Perfect for my needs.,positive
I love this keyboard. Highly recommended!,positive
Waste of money on this microphone. Very misleading.,negative
Basic laptop. Standard features.,neutral
Fantastic keyboard! Couldn't be happier!,positive
The mouse is fine. Nothing special.,neutral
"Regular microphone. Not bad, not great.",neutral
Brilliant microphone! Better than expected.,positive
The router is fine. Nothing special.,neutral
Worst laptop ever. Regret the purchase.,negative
Disappointing earphones. Very misleading.,negative
Basic powerbank. Average quality.,neutral
Brilliant memory card! Better than expected.,positive
Horrible powerbank. Not worth the price.,negative
Great smartphone with crystal clear display. Will buy again!,positive
Fantastic camera! Couldn't be happier!,positive
Worst smartwatch ever. Terrible experience.,negative
This keyboard is terrible. Very disappointed.,negative
Excellent powerbank! Worth every penny!,positive
Worst charger ever. Complete waste of money.,negative
Standard monitor. Nothing special.,neutral
Waste of money on this mouse. Stay away from this.,negative
Regret buying this smartwatch. Complete waste of money.,negative
"The powerbank is fine. Not bad, not great.",neutral
Fantastic hard drive! Couldn't be happier!,positive
Best mouse I've ever used. Worth every penny!,positive
This webcam is terrible. Terrible experience.,negative
Wonderful webcam! Couldn't be happier!,positive
Fantastic memory card! Highly recommended!,positive
Outstanding camera. Great value for money.,positive
Best laptop I've ever used. Perfect for my needs.,positive
Best headphones I've ever used. Worth every penny!,positive
The keyboard is fine. Could be better.,neutral
Poor quality powerbank. Regret the purchase.,negative
Great router with reliable performance. Couldn't be happier!,positive
Bad hard drive. Poor quality.,negative
Brilliant mouse! Great value for money.,positive
Best microphone I've ever used. Better than expected.,positive
Brilliant monitor! Will buy again!,positive
"Usual earphones. Not bad, not great.",neutral
Great keyboard with beautiful design. Exactly what I wanted.,positive
Excellent memory card! Highly recommended!,positive
Bad router. Not as described.,negative
Fantastic router! Better than expected.,positive
This hard drive is amazing! Exactly what I wanted.,positive
Excellent memory card! Exceeded my expectations.,positive
Regret buying this laptop. Terrible experience.,negative
Superb mouse. Exactly what I wanted.,positive
This earphones is amazing! Better than expected.,positive
Decent router. Nothing special.,neutral
The headphones is fine. Could be better.,neutral
Average headphones. Serves its purpose.,neutral
I love this printer. Exactly what I wanted.,positive
This keyboard is okay. Nothing special.,neutral
This speaker is amazing! Better than expected.,positive
This tablet is amazing! Great value for money.,positive
Regret buying this microphone. Regret the purchase.,negative
Worst laptop ever. Very misleading.,negative
Waste of money on this hard drive. Would not recommend.,negative
I love this earphones. Better than expected.,positive
Average camera. Acceptable quality.,neutral
Basic headphones. Serves its purpose.,neutral
Average laptop. Acceptable quality.,neutral
Acceptable printer. Could be better.,neutral
Outstanding printer. Worth every penny!,positive
Awful router! Would not recommend.,negative
Disappointing speaker. Regret the purchase.,negative
Not bad hard drive. Serves its purpose.,neutral
This speaker is okay. Could be better.,neutral
Brilliant smartphone! Exceeded my expectations.,positive
Fantastic printer! Highly recommended!,positive
This mouse is okay. Average quality.,neutral
Wonderful speaker! Exactly what I wanted.,positive
Great keyboard with great battery life. Better than expected.,positive
Brilliant printer! Exactly what I wanted.,positive
I love this smartphone. Highly recommended!,positive
Regular tablet. Nothing special.,neutral
This memory card is terrible. Complete waste of money.,negative
Great smartwatch with amazing performance. Great value for money.,positive
Average keyboard. Meets basic requirements.,neutral
Fantastic smartphone! Great value for money.,positive
Basic smartwatch. As expected.,neutral
Bad keyboard. Would not recommend.,negative
Not bad microphone. Could be better.,neutral
Fantastic router! Exactly what I wanted.,positive
Waste of money on this memory card. Would not recommend.,negative
I love this charger. Couldn't be happier!,positive
Fantastic smartphone! Highly recommended!,positive
Standard smartwatch. Nothing special.,neutral
This hard drive is terrible. Not worth the price.,negative
Outstanding microphone. Perfect for my needs.,positive
This keyboard is okay. Standard features.,neutral
Wonderful memory card! Worth every penny!,positive
Fantastic memory card! Better than expected.,positive
Wonderful headphones! Highly recommended!,positive
The microphone is fine. Decent for the price.,neutral
Great memory card with fast processing. Perfect for my needs.,positive
Horrible laptop. Not worth the price.,negative
Disappointing smartwatch. Regret the purchase.,negative
"Decent laptop. Not bad, not great.",neutral
This charger is amazing! Will buy again!,positive
Average tablet. Acceptable quality.,neutral
The speaker is fine. Standard features.,neutral
Disappointing monitor. Complete waste of money.,negative
Basic printer. Acceptable quality.,neutral
Awful mouse! Complete waste of money.,negative
Waste of money on this memory card. Terrible experience.,negative
This smartphone is okay. Meets basic requirements.,neutral
Regret buying this earphones. Terrible experience.,negative
Disappointing hard drive. Very disappointed.,negative
Great microphone with excellent build quality. Couldn't be happier!,positive
"Acceptable memory card. Not bad, not great.",neutral
"Basic tablet. Not bad, not great.",neutral
Decent hard drive. Average quality.,neutral
Wonderful printer! Perfect for my needs.,positive
Great tablet with comfortable to use. Better than expected.,positive
Disappointing camera. Stay away from this.,negative
This headphones is amazing! Exceeded my expectations.,positive
Standard cable. Average quality.,neutral
Useless powerbank. Stay away from this.,negative
Not bad powerbank. Could be better.,neutral
Poor quality mouse. Not as described.,negative
Best router I've ever used. Highly recommended!,positive
Excellent printer! Worth every penny!,positive
Average monitor. Meets basic requirements.,neutral
Best smartphone I've ever used. Very satisfied with the purchase.,positive
Regular laptop. Standard features.,neutral
Worst printer ever. Terrible experience.,negative
Regular speaker. Meets basic requirements.,neutral
Brilliant microphone! Great value for money.,positive
This microphone is amazing! Very satisfied with the purchase.,positive
This smartwatch is terrible. Poor quality.,negative
Waste of money on this keyboard. Not worth the price.,negative
Excellent cable! Exceeded my expectations.,positive
I love this mouse. Better than expected.,positive
This smartwatch is amazing! Better than expected.,positive
Poor quality speaker. Poor quality.,negative
This powerbank is okay. Acceptable quality.,neutral
Standard speaker. Meets basic requirements.,neutral
This charger is terrible. Stay away from this.,negative
I love this headphones. Exactly what I wanted.,positive
Great charger with great battery life. Better than expected.,positive
Horrible headphones. Not as described.,negative
Decent cable. Serves its purpose.,neutral
Basic smartwatch. Decent for the price.,neutral
Awful tablet! Very disappointed.,negative
Average cable. Acceptable quality.,neutral
Standard laptop. Average quality.,neutral
Superb router. Will buy again!,positive
Disappointing headphones. Poor quality.,negative
Regret buying this laptop. Stay away from this.,negative
Excellent laptop! Will buy again!,positive
Bad cable. Very misleading.,negative
The printer is fine. Nothing special.,neutral
Brilliant charger! Worth every penny!,positive
Wonderful keyboard! Very satisfied with the purchase.,positive
Standard memory card. Decent for the price.,neutral
Disappointing printer. Poor quality.,negative
Regret buying this printer. Would not recommend.,negative
Regret buying this smartphone. Complete waste of money.,negative
Awful monitor! Stay away from this.,negative
Decent monitor. Acceptable quality.,neutral
The printer is fine. Decent for the price.,neutral
Outstanding printer. Exactly what I wanted.,positive
Brilliant keyboard! Perfect for my needs.,positive
Regret buying this speaker. Poor quality.,negative
Superb printer. Better than expected.,positive
Awful smartwatch! Terrible experience.,negative
Waste of money on this charger. Not as described.,negative
Regret buying this headphones. Terrible experience.,negative
Great keyboard with premium feel. Exceeded my expectations.,positive
This headphones is amazing! Very satisfied with the purchase.,positive
The printer is fine. Serves its purpose.,neutral
Great keyboard with innovative features. Better than expected.,positive
Poor quality memory card. Stay away from this.,negative
Brilliant tablet! Very satisfied with the purchase.,positive
Useless tablet. Poor quality.,negative
Outstanding smartphone. Will buy again!,positive
Usual printer. As expected.,neutral
Regret buying this speaker. Not as described.,negative
Superb hard drive. Couldn't be happier!,positive
This camera is amazing! Exactly what I wanted.,positive
I love this cable. Worth every penny!,positive
Fantastic webcam! Highly recommended!,positive
Usual laptop. Average quality.,neutral
This powerbank is amazing! Worth every penny!,positive
Bad mouse. Would not recommend.,negative
Average webcam. Nothing special.,neutral
This earphones is terrible. Not as described.,negative
Brilliant cable! Perfect for my needs.,positive
Basic smartphone. Could be better.,neutral
"Standard mouse. Not bad, not great.",neutral
Decent printer. Decent for the price.,neutral
This speaker is terrible. Very misleading.,negative
This speaker is okay. Decent for the price.,neutral
Standard laptop. Meets basic requirements.,neutral
Average memory card. As expected.,neutral
Basic router. Meets basic requirements.,neutral
The smartwatch is fine. Acceptable quality.,neutral
Superb tablet. Couldn't be happier!,positive
Superb tablet. Worth every penny!,positive
Basic webcam. Serves its purpose.,neutral
Acceptable speaker. Decent for the price.,neutral
This printer is okay. Acceptable quality.,neutral
This powerbank is terrible. Would not recommend.,negative
Acceptable printer. As expected.,neutral
Basic smartphone. As expected.,neutral
Superb memory card. Will buy again!,positive
Waste of money on this memory card. Complete waste of money.,negative
Awful earphones! Complete waste of money.,negative
Fantastic router! Worth every penny!,positive
Basic mouse. Meets basic requirements.,neutral
Excellent microphone! Will buy again!,positive
Waste of money on this router. Regret the purchase.,negative
Fantastic speaker! Couldn't be happier!,positive
Acceptable router. As expected.,neutral
Poor quality webcam. Very disappointed.,negative
The hard drive is fine. As expected.,neutral
Great router with crystal clear display. Great value for money.,positive
Brilliant router! Very satisfied with the purchase.,positive
Standard smartphone. Standard features.,neutral
This earphones is okay. Average quality.,neutral
Bad smartwatch. Not worth the price.,negative
Wonderful smartphone! Very satisfied with the purchase.,positive
Outstanding powerbank. Great value for money.,positive
Average webcam. Average quality.,neutral
The smartwatch is fine. Could be better.,neutral
I love this router. Highly recommended!,positive
Average powerbank. Decent for the price.,neutral
Regular smartwatch. Standard features.,neutral
Acceptable charger. Serves its purpose.,neutral
Waste of money on this camera. Terrible experience.,negative
Great monitor with fast processing. Very satisfied with the purchase.,positive
Bad printer. Would not recommend.,negative
Regret buying this mouse. Not worth the price.,negative
Outstanding laptop. Very satisfied with the purchase.,positive
Usual smartphone. Serves its purpose.,neutral
Acceptable smartwatch. Acceptable quality.,neutral
Poor quality webcam. Stay away from this.,negative
Waste of money on this webcam. Not worth the price.,negative
Excellent monitor! Exceeded my expectations.,positive
Wonderful monitor! Great value for money.,positive
Waste of money on this router. Would not recommend.,negative
Awful charger! Not worth the price.,negative
Horrible hard drive. Poor quality.,negative
This keyboard is terrible. Complete waste of money.,negative
Brilliant smartwatch! Perfect for my needs.,positive
Basic hard drive. As expected.,neutral
Great cable with amazing performance. Better than expected.,positive
Outstanding earphones. Worth every penny!,positive
This monitor is amazing! Worth every penny!,positive
Superb webcam. Exceeded my expectations.,positive
Best mouse I've ever used. Very satisfied with the purchase.,positive
Awful powerbank! Complete waste of money.,negative
Awful laptop! Poor quality.,negative
Horrible charger. Regret the purchase.,negative
This speaker is okay. Meets basic requirements.,neutral
Excellent tablet! Will buy again!,positive
Acceptable earphones. Average quality.,neutral
Horrible powerbank. Stay away from this.,negative
"Regular earphones. Not bad, not great.",neutral
Waste of money on this memory card. Would not recommend.,negative
Awful headphones! Terrible experience.,negative
Basic webcam. As expected.,neutral
Wonderful monitor! Great value for money.,positive
Horrible keyboard. Regret the purchase.,negative
This headphones is okay. Acceptable quality.,neutral
Best router I've ever used. Worth every penny!,positive
Useless cable. Poor quality.,negative
Regret buying this laptop. Regret the purchase.,negative
Bad tablet. Very disappointed.,negative
Waste of money on this router. Poor quality.,negative
Superb webcam. Better than expected.,positive
Waste of money on this earphones. Very misleading.,negative
Superb keyboard. Great value for money.,positive
Awful powerbank! Very disappointed.,negative
Regret buying this hard drive. Very misleading.,negative
Great earphones with beautiful design. Exactly what I wanted.,positive
Disappointing keyboard. Not as described.,negative
Poor quality cable. Complete waste of money.,negative
Outstanding tablet. Perfect for my needs.,positive
This monitor is amazing! Worth every penny!,positive
Excellent mouse! Exactly what I wanted.,positive
Excellent router! Highly recommended!,positive
Wonderful camera! Perfect for my needs.,positive
Wonderful monitor! Exactly what I wanted.,positive
This laptop is okay. Meets basic requirements.,neutral
Disappointing keyboard. Very misleading.,negative
Regret buying this smartwatch. Regret the purchase.,negative
Fantastic speaker! Better than expected.,positive
Regret buying this headphones. Regret the purchase.,negative
Brilliant speaker! Will buy again!,positive
Brilliant earphones! Highly recommended!,positive
Not bad hard drive. Acceptable quality.,neutral
Worst earphones ever. Stay away from this.,negative
Regular charger. Standard features.,neutral
Awful monitor! Not worth the price.,negative
I love this camera. Very satisfied with the purchase.,positive
Regular printer. Acceptable quality.,neutral
Poor quality cable. Very misleading.,negative
Awful laptop! Very misleading.,negative
Bad smartphone. Very misleading.,negative
Average hard drive. Serves its purpose.,neutral
Awful camera! Poor quality.,negative
Fantastic laptop! Great value for money.,positive
Fantastic keyboard! Will buy again!,positive
Wonderful smartphone! Perfect for my needs.,positive
Best mouse I've ever used. Great value for money.,positive
Worst cable ever. Not worth the price.,negative
I love this smartphone. Worth every penny!,positive
Useless memory card. Complete waste of money.,negative
Outstanding smartwatch. Better than expected.,positive
Useless monitor. Very disappointed.,negative
This monitor is amazing! Perfect for my needs.,positive
Wonderful hard drive! Very satisfied with the purchase.,positive
Regret buying this earphones. Poor quality.,negative
I love this hard drive. Exceeded my expectations.,positive
Disappointing webcam. Stay away from this.,negative
Excellent charger! Worth every penny!,positive
Average powerbank. Decent for the price.,neutral
Waste of money on this powerbank. Very disappointed.,negative
Best mouse I've ever used. Very satisfied with the purchase.,positive
Awful smartwatch! Very disappointed.,negative
"Standard charger. Not bad, not great.",neutral
Decent smartwatch. Could be better.,neutral
The headphones is fine. Average quality.,neutral
Bad speaker. Would not recommend.,negative
Basic printer. Standard features.,neutral
Poor quality cable. Not as described.,negative
Acceptable mouse. Meets basic requirements.,neutral
Superb webcam. Couldn't be happier!,positive
Average microphone. Decent for the price.,neutral
Regular laptop. Standard features.,neutral
Poor quality hard drive. Regret the purchase.,negative
This hard drive is amazing! Worth every penny!,positive
This mouse is terrible. Complete waste of money.,negative
Great speaker with premium feel. Couldn't be happier!,positive
Excellent cable! Exceeded my expectations.,positive
Waste of money on this charger. Very disappointed.,negative
This smartwatch is terrible. Poor quality.,negative
Not bad cable. Serves its purpose.,neutral
Excellent laptop! Exceeded my expectations.,positive
Average speaker. Acceptable quality.,neutral
Poor quality mouse. Not worth the price.,negative
"Usual powerbank. Not bad, not great.",neutral
Disappointing powerbank. Stay away from this.,negative
Fantastic tablet! Great value for money.,positive
This smartphone is okay. Meets basic requirements.,neutral
